Snapshot Date,Service Type,Age Band,Age Band Order,Open Tickets,Past Due Tickets,Critical Or Major,High Risk Tickets
2024-08-01,Business Voice (SIP),0-24h,1,38,0,4,1
2024-08-01,Business Voice (SIP),1-3d,2,30,0,0,4
2024-08-01,Business Voice (SIP),3-7d,3,11,5,0,6
2024-08-01,Business Voice (SIP),7-30d,4,2,2,0,1
2024-08-01,Business Voice (SIP),30d+,5,0,0,0,0
2024-08-01,Dedicated Internet,0-24h,1,43,0,2,2
2024-08-01,Dedicated Internet,1-3d,2,34,3,0,3
2024-08-01,Dedicated Internet,3-7d,3,7,2,0,2
2024-08-01,Dedicated Internet,7-30d,4,2,2,0,1
2024-08-01,Dedicated Internet,30d+,5,0,0,0,0
2024-08-01,Managed Cloud,0-24h,1,20,0,4,1
2024-08-01,Managed Cloud,1-3d,2,12,1,0,1
2024-08-01,Managed Cloud,3-7d,3,3,2,0,0
2024-08-01,Managed Cloud,7-30d,4,1,1,0,0
2024-08-01,Managed Cloud,30d+,5,0,0,0,0
2024-08-01,Managed Security,0-24h,1,15,1,4,0
2024-08-01,Managed Security,1-3d,2,8,0,0,0
2024-08-01,Managed Security,3-7d,3,3,1,0,2
2024-08-01,Managed Security,7-30d,4,0,0,0,0
2024-08-01,Managed Security,30d+,5,0,0,0,0
2024-08-01,MPLS WAN,0-24h,1,17,0,2,4
2024-08-01,MPLS WAN,1-3d,2,15,3,0,3
2024-08-01,MPLS WAN,3-7d,3,4,4,0,3
2024-08-01,MPLS WAN,7-30d,4,1,1,0,0
2024-08-01,MPLS WAN,30d+,5,0,0,0,0
2024-08-01,SD-WAN,0-24h,1,57,0,7,10
2024-08-01,SD-WAN,1-3d,2,36,4,0,10
2024-08-01,SD-WAN,3-7d,3,13,11,0,4
2024-08-01,SD-WAN,7-30d,4,10,10,0,5
2024-08-01,SD-WAN,30d+,5,0,0,0,0
2024-09-01,Business Voice (SIP),0-24h,1,23,0,0,5
2024-09-01,Business Voice (SIP),1-3d,2,26,0,0,1
2024-09-01,Business Voice (SIP),3-7d,3,8,3,0,0
2024-09-01,Business Voice (SIP),7-30d,4,0,0,0,0
2024-09-01,Business Voice (SIP),30d+,5,0,0,0,0
2024-09-01,Dedicated Internet,0-24h,1,25,0,2,8
2024-09-01,Dedicated Internet,1-3d,2,37,5,1,3
2024-09-01,Dedicated Internet,3-7d,3,6,3,0,4
2024-09-01,Dedicated Internet,7-30d,4,11,11,0,10
2024-09-01,Dedicated Internet,30d+,5,0,0,0,0
2024-09-01,Managed Cloud,0-24h,1,12,0,1,1
2024-09-01,Managed Cloud,1-3d,2,13,0,0,0
2024-09-01,Managed Cloud,3-7d,3,8,4,0,1
2024-09-01,Managed Cloud,7-30d,4,0,0,0,0
2024-09-01,Managed Cloud,30d+,5,0,0,0,0
2024-09-01,Managed Security,0-24h,1,6,0,1,0
2024-09-01,Managed Security,1-3d,2,6,1,1,0
2024-09-01,Managed Security,3-7d,3,5,1,0,1
2024-09-01,Managed Security,7-30d,4,3,3,0,1
2024-09-01,Managed Security,30d+,5,0,0,0,0
2024-09-01,MPLS WAN,0-24h,1,4,0,0,1
2024-09-01,MPLS WAN,1-3d,2,14,1,0,3
2024-09-01,MPLS WAN,3-7d,3,4,3,0,1
2024-09-01,MPLS WAN,7-30d,4,0,0,0,0
2024-09-01,MPLS WAN,30d+,5,0,0,0,0
2024-09-01,SD-WAN,0-24h,1,22,0,2,14
2024-09-01,SD-WAN,1-3d,2,32,3,1,9
2024-09-01,SD-WAN,3-7d,3,19,9,0,6
2024-09-01,SD-WAN,7-30d,4,2,2,0,1
2024-09-01,SD-WAN,30d+,5,0,0,0,0
2024-10-01,Business Voice (SIP),0-24h,1,45,0,4,2
2024-10-01,Business Voice (SIP),1-3d,2,16,2,0,6
2024-10-01,Business Voice (SIP),3-7d,3,9,3,0,3
2024-10-01,Business Voice (SIP),7-30d,4,3,3,0,2
2024-10-01,Business Voice (SIP),30d+,5,0,0,0,0
2024-10-01,Dedicated Internet,0-24h,1,49,0,5,3
2024-10-01,Dedicated Internet,1-3d,2,17,0,0,8
2024-10-01,Dedicated Internet,3-7d,3,16,7,0,5
2024-10-01,Dedicated Internet,7-30d,4,3,3,0,2
2024-10-01,Dedicated Internet,30d+,5,1,1,0,1
2024-10-01,Managed Cloud,0-24h,1,19,0,2,1
2024-10-01,Managed Cloud,1-3d,2,7,0,0,1
2024-10-01,Managed Cloud,3-7d,3,3,2,0,0
2024-10-01,Managed Cloud,7-30d,4,1,1,0,0
2024-10-01,Managed Cloud,30d+,5,0,0,0,0
2024-10-01,Managed Security,0-24h,1,27,1,4,0
2024-10-01,Managed Security,1-3d,2,9,0,0,2
2024-10-01,Managed Security,3-7d,3,3,2,0,0
2024-10-01,Managed Security,7-30d,4,2,2,0,0
2024-10-01,Managed Security,30d+,5,0,0,0,0
2024-10-01,MPLS WAN,0-24h,1,26,0,2,1
2024-10-01,MPLS WAN,1-3d,2,2,0,0,1
2024-10-01,MPLS WAN,3-7d,3,3,2,0,2
2024-10-01,MPLS WAN,7-30d,4,1,1,0,1
2024-10-01,MPLS WAN,30d+,5,0,0,0,0
2024-10-01,SD-WAN,0-24h,1,47,2,8,11
2024-10-01,SD-WAN,1-3d,2,20,1,1,11
2024-10-01,SD-WAN,3-7d,3,13,8,0,8
2024-10-01,SD-WAN,7-30d,4,7,7,0,5
2024-10-01,SD-WAN,30d+,5,0,0,0,0
2024-11-01,Business Voice (SIP),0-24h,1,59,0,8,2
2024-11-01,Business Voice (SIP),1-3d,2,74,12,4,19
2024-11-01,Business Voice (SIP),3-7d,3,134,102,10,128
2024-11-01,Business Voice (SIP),7-30d,4,3,3,0,2
2024-11-01,Business Voice (SIP),30d+,5,0,0,0,0
2024-11-01,Dedicated Internet,0-24h,1,52,0,3,7
2024-11-01,Dedicated Internet,1-3d,2,47,7,0,9
2024-11-01,Dedicated Internet,3-7d,3,12,3,1,5
2024-11-01,Dedicated Internet,7-30d,4,2,2,0,1
2024-11-01,Dedicated Internet,30d+,5,0,0,0,0
2024-11-01,Managed Cloud,0-24h,1,21,0,1,0
2024-11-01,Managed Cloud,1-3d,2,15,1,0,0
2024-11-01,Managed Cloud,3-7d,3,6,3,0,2
2024-11-01,Managed Cloud,7-30d,4,1,1,0,0
2024-11-01,Managed Cloud,30d+,5,0,0,0,0
2024-11-01,Managed Security,0-24h,1,26,0,0,0
2024-11-01,Managed Security,1-3d,2,13,0,1,0
2024-11-01,Managed Security,3-7d,3,1,0,0,0
2024-11-01,Managed Security,7-30d,4,0,0,0,0
2024-11-01,Managed Security,30d+,5,0,0,0,0
2024-11-01,MPLS WAN,0-24h,1,18,0,1,0
2024-11-01,MPLS WAN,1-3d,2,13,1,0,3
2024-11-01,MPLS WAN,3-7d,3,6,5,0,5
2024-11-01,MPLS WAN,7-30d,4,0,0,0,0
2024-11-01,MPLS WAN,30d+,5,0,0,0,0
2024-11-01,SD-WAN,0-24h,1,46,0,3,7
2024-11-01,SD-WAN,1-3d,2,33,0,0,9
2024-11-01,SD-WAN,3-7d,3,13,8,0,9
2024-11-01,SD-WAN,7-30d,4,5,5,0,3
2024-11-01,SD-WAN,30d+,5,0,0,0,0
2024-12-01,Business Voice (SIP),0-24h,1,27,0,2,11
2024-12-01,Business Voice (SIP),1-3d,2,25,2,1,5
2024-12-01,Business Voice (SIP),3-7d,3,8,3,0,3
2024-12-01,Business Voice (SIP),7-30d,4,0,0,0,0
2024-12-01,Business Voice (SIP),30d+,5,0,0,0,0
2024-12-01,Dedicated Internet,0-24h,1,32,0,2,12
2024-12-01,Dedicated Internet,1-3d,2,27,1,0,4
2024-12-01,Dedicated Internet,3-7d,3,11,5,0,1
2024-12-01,Dedicated Internet,7-30d,4,4,4,0,2
2024-12-01,Dedicated Internet,30d+,5,0,0,0,0
2024-12-01,Managed Cloud,0-24h,1,10,0,2,1
2024-12-01,Managed Cloud,1-3d,2,15,1,0,0
2024-12-01,Managed Cloud,3-7d,3,5,1,0,0
2024-12-01,Managed Cloud,7-30d,4,4,4,0,2
2024-12-01,Managed Cloud,30d+,5,0,0,0,0
2024-12-01,Managed Security,0-24h,1,6,0,0,0
2024-12-01,Managed Security,1-3d,2,9,0,0,0
2024-12-01,Managed Security,3-7d,3,2,1,0,0
2024-12-01,Managed Security,7-30d,4,1,1,0,0
2024-12-01,Managed Security,30d+,5,0,0,0,0
2024-12-01,MPLS WAN,0-24h,1,12,0,1,3
2024-12-01,MPLS WAN,1-3d,2,15,0,0,3
2024-12-01,MPLS WAN,3-7d,3,4,1,0,0
2024-12-01,MPLS WAN,7-30d,4,3,3,0,1
2024-12-01,MPLS WAN,30d+,5,0,0,0,0
2024-12-01,SD-WAN,0-24h,1,28,0,1,15
2024-12-01,SD-WAN,1-3d,2,45,7,2,13
2024-12-01,SD-WAN,3-7d,3,14,6,0,5
2024-12-01,SD-WAN,7-30d,4,4,4,0,3
2024-12-01,SD-WAN,30d+,5,0,0,0,0
2025-01-01,Business Voice (SIP),0-24h,1,40,0,2,4
2025-01-01,Business Voice (SIP),1-3d,2,20,1,0,1
2025-01-01,Business Voice (SIP),3-7d,3,8,5,0,2
2025-01-01,Business Voice (SIP),7-30d,4,2,2,0,1
2025-01-01,Business Voice (SIP),30d+,5,0,0,0,0
2025-01-01,Dedicated Internet,0-24h,1,75,0,7,5
2025-01-01,Dedicated Internet,1-3d,2,33,1,2,4
2025-01-01,Dedicated Internet,3-7d,3,12,8,0,3
2025-01-01,Dedicated Internet,7-30d,4,2,2,0,2
2025-01-01,Dedicated Internet,30d+,5,0,0,0,0
2025-01-01,Managed Cloud,0-24h,1,25,0,0,0
2025-01-01,Managed Cloud,1-3d,2,14,1,1,3
2025-01-01,Managed Cloud,3-7d,3,4,3,0,0
2025-01-01,Managed Cloud,7-30d,4,0,0,0,0
2025-01-01,Managed Cloud,30d+,5,0,0,0,0
2025-01-01,Managed Security,0-24h,1,25,0,3,0
2025-01-01,Managed Security,1-3d,2,6,0,0,0
2025-01-01,Managed Security,3-7d,3,3,1,0,0
2025-01-01,Managed Security,7-30d,4,2,2,0,1
2025-01-01,Managed Security,30d+,5,0,0,0,0
2025-01-01,MPLS WAN,0-24h,1,18,0,1,3
2025-01-01,MPLS WAN,1-3d,2,12,2,0,4
2025-01-01,MPLS WAN,3-7d,3,3,1,0,0
2025-01-01,MPLS WAN,7-30d,4,0,0,0,0
2025-01-01,MPLS WAN,30d+,5,0,0,0,0
2025-01-01,SD-WAN,0-24h,1,46,2,6,6
2025-01-01,SD-WAN,1-3d,2,34,4,1,8
2025-01-01,SD-WAN,3-7d,3,8,4,0,6
