Service ID,Site ID,Customer ID,Service Type,Bandwidth Mbps,Assignment Group
SVC-00001,SITE-0001,CUST-001,Managed Cloud,,Cloud Ops
SVC-00002,SITE-0001,CUST-001,Dedicated Internet,10000,Field - Quebec
SVC-00003,SITE-0002,CUST-001,Dedicated Internet,500,Field - Quebec
SVC-00004,SITE-0002,CUST-001,MPLS WAN,100,Field - Quebec
SVC-00005,SITE-0003,CUST-001,Business Voice (SIP),,Voice Ops
SVC-00006,SITE-0004,CUST-001,SD-WAN,2000,Field - Quebec
SVC-00007,SITE-0004,CUST-001,Business Voice (SIP),,Voice Ops
SVC-00008,SITE-0004,CUST-001,Managed Cloud,,Cloud Ops
SVC-00009,SITE-0005,CUST-001,MPLS WAN,50,Field - Quebec
SVC-00010,SITE-0005,CUST-001,Business Voice (SIP),,Voice Ops
SVC-00011,SITE-0005,CUST-001,Dedicated Internet,2000,Field - Quebec
SVC-00012,SITE-0005,CUST-001,Managed Security,,Security Ops
SVC-00013,SITE-0006,CUST-001,Dedicated Internet,50,Field - Quebec
SVC-00014,SITE-0007,CUST-001,MPLS WAN,500,Field - West
SVC-00015,SITE-0008,CUST-002,Dedicated Internet,10000,Field - West
SVC-00016,SITE-0008,CUST-002,Managed Security,,Security Ops
SVC-00017,SITE-0009,CUST-002,Managed Cloud,,Cloud Ops
SVC-00018,SITE-0010,CUST-002,Dedicated Internet,50,Field - West
SVC-00019,SITE-0010,CUST-002,MPLS WAN,2000,Field - West
SVC-00020,SITE-0011,CUST-002,Business Voice (SIP),,Voice Ops
SVC-00021,SITE-0011,CUST-002,SD-WAN,1000,Field - West
SVC-00022,SITE-0012,CUST-003,Managed Security,,Security Ops
SVC-00023,SITE-0013,CUST-003,Dedicated Internet,10000,Field - Ontario
SVC-00024,SITE-0013,CUST-003,Managed Security,,Security Ops
SVC-00025,SITE-0013,CUST-003,SD-WAN,50,Field - Ontario
SVC-00026,SITE-0014,CUST-003,SD-WAN,10000,Field - Ontario
SVC-00027,SITE-0015,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00028,SITE-0015,CUST-003,Dedicated Internet,2000,Field - West
SVC-00029,SITE-0015,CUST-003,MPLS WAN,10000,Field - West
SVC-00030,SITE-0016,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00031,SITE-0017,CUST-003,SD-WAN,100,Field - Quebec
SVC-00032,SITE-0017,CUST-003,Dedicated Internet,1000,Field - Quebec
SVC-00033,SITE-0017,CUST-003,Managed Security,,Security Ops
SVC-00034,SITE-0018,CUST-003,Dedicated Internet,50,Field - Ontario
SVC-00035,SITE-0018,CUST-003,SD-WAN,500,Field - Ontario
SVC-00036,SITE-0019,CUST-003,SD-WAN,100,Field - Atlantic
SVC-00037,SITE-0020,CUST-003,Dedicated Internet,10000,Field - Ontario
SVC-00038,SITE-0021,CUST-003,Dedicated Internet,100,Field - Ontario
SVC-00039,SITE-0021,CUST-003,Managed Security,,Security Ops
SVC-00040,SITE-0022,CUST-003,SD-WAN,10000,Field - Ontario
SVC-00041,SITE-0022,CUST-003,Dedicated Internet,200,Field - Ontario
SVC-00042,SITE-0023,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00043,SITE-0023,CUST-003,Dedicated Internet,500,Field - Ontario
SVC-00044,SITE-0023,CUST-003,Managed Security,,Security Ops
SVC-00045,SITE-0023,CUST-003,MPLS WAN,100,Field - Ontario
SVC-00046,SITE-0024,CUST-003,Dedicated Internet,100,Field - Ontario
SVC-00047,SITE-0024,CUST-003,SD-WAN,10000,Field - Ontario
SVC-00048,SITE-0025,CUST-003,Managed Cloud,,Cloud Ops
SVC-00049,SITE-0026,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00050,SITE-0026,CUST-003,Managed Cloud,,Cloud Ops
SVC-00051,SITE-0027,CUST-003,Managed Security,,Security Ops
SVC-00052,SITE-0028,CUST-003,Dedicated Internet,2000,Field - Ontario
SVC-00053,SITE-0028,CUST-003,Managed Cloud,,Cloud Ops
SVC-00054,SITE-0029,CUST-003,Dedicated Internet,10000,Field - Ontario
SVC-00055,SITE-0029,CUST-003,SD-WAN,100,Field - Ontario
SVC-00056,SITE-0029,CUST-003,Managed Security,,Security Ops
SVC-00057,SITE-0030,CUST-003,Dedicated Internet,1000,Field - Ontario
SVC-00058,SITE-0030,CUST-003,Managed Cloud,,Cloud Ops
SVC-00059,SITE-0031,CUST-003,Dedicated Internet,1000,Field - Ontario
SVC-00060,SITE-0032,CUST-003,MPLS WAN,10000,Field - Ontario
SVC-00061,SITE-0032,CUST-003,Dedicated Internet,50,Field - Ontario
SVC-00062,SITE-0033,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00063,SITE-0034,CUST-003,Dedicated Internet,100,Field - Ontario
SVC-00064,SITE-0035,CUST-003,Dedicated Internet,500,Field - Ontario
SVC-00065,SITE-0035,CUST-003,Managed Cloud,,Cloud Ops
SVC-00066,SITE-0035,CUST-003,Managed Security,,Security Ops
SVC-00067,SITE-0036,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00068,SITE-0037,CUST-003,SD-WAN,500,Field - Ontario
SVC-00069,SITE-0037,CUST-003,Dedicated Internet,500,Field - Ontario
SVC-00070,SITE-0038,CUST-003,SD-WAN,200,Field - West
SVC-00071,SITE-0039,CUST-003,Managed Security,,Security Ops
SVC-00072,SITE-0040,CUST-003,SD-WAN,500,Field - Ontario
SVC-00073,SITE-0040,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00074,SITE-0041,CUST-003,Business Voice (SIP),,Voice Ops
SVC-00075,SITE-0041,CUST-003,MPLS WAN,200,Field - Ontario
SVC-00076,SITE-0042,CUST-004,Dedicated Internet,100,Field - Quebec
SVC-00077,SITE-0043,CUST-004,MPLS WAN,1000,Field - Quebec
SVC-00078,SITE-0043,CUST-004,Managed Cloud,,Cloud Ops
SVC-00079,SITE-0044,CUST-004,Managed Security,,Security Ops
SVC-00080,SITE-0044,CUST-004,Dedicated Internet,100,Field - Ontario
SVC-00081,SITE-0044,CUST-004,SD-WAN,10000,Field - Ontario
SVC-00082,SITE-0045,CUST-004,Managed Cloud,,Cloud Ops
SVC-00083,SITE-0046,CUST-005,Business Voice (SIP),,Voice Ops
SVC-00084,SITE-0046,CUST-005,Managed Security,,Security Ops
SVC-00085,SITE-0046,CUST-005,SD-WAN,100,Field - West
SVC-00086,SITE-0047,CUST-005,Business Voice (SIP),,Voice Ops
SVC-00087,SITE-0048,CUST-005,Managed Security,,Security Ops
SVC-00088,SITE-0049,CUST-005,SD-WAN,10000,Field - Quebec
SVC-00089,SITE-0050,CUST-005,Business Voice (SIP),,Voice Ops
SVC-00090,SITE-0050,CUST-005,Dedicated Internet,2000,Field - Quebec
SVC-00091,SITE-0051,CUST-005,SD-WAN,2000,Field - Quebec
SVC-00092,SITE-0051,CUST-005,Business Voice (SIP),,Voice Ops
SVC-00093,SITE-0052,CUST-006,Dedicated Internet,10000,Field - Quebec
SVC-00094,SITE-0052,CUST-006,SD-WAN,500,Field - Quebec
SVC-00095,SITE-0052,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00096,SITE-0053,CUST-006,SD-WAN,100,Field - West
SVC-00097,SITE-0053,CUST-006,Dedicated Internet,100,Field - West
SVC-00098,SITE-0053,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00099,SITE-0054,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00100,SITE-0055,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00101,SITE-0055,CUST-006,MPLS WAN,10000,Field - West
SVC-00102,SITE-0056,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00103,SITE-0056,CUST-006,Dedicated Internet,100,Field - West
SVC-00104,SITE-0057,CUST-006,Dedicated Internet,100,Field - Ontario
SVC-00105,SITE-0057,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00106,SITE-0058,CUST-006,Dedicated Internet,2000,Field - Ontario
SVC-00107,SITE-0058,CUST-006,Business Voice (SIP),,Voice Ops
SVC-00108,SITE-0058,CUST-006,Managed Security,,Security Ops
SVC-00109,SITE-0058,CUST-006,SD-WAN,200,Field - Ontario
SVC-00110,SITE-0059,CUST-007,Dedicated Internet,200,Field - Ontario
SVC-00111,SITE-0059,CUST-007,Business Voice (SIP),,Voice Ops
SVC-00112,SITE-0060,CUST-007,Managed Security,,Security Ops
SVC-00113,SITE-0060,CUST-007,Managed Cloud,,Cloud Ops
SVC-00114,SITE-0061,CUST-007,SD-WAN,50,Field - West
SVC-00115,SITE-0062,CUST-007,Managed Security,,Security Ops
SVC-00116,SITE-0063,CUST-007,Dedicated Internet,2000,Field - Prairies
SVC-00117,SITE-0064,CUST-008,SD-WAN,200,Field - West
SVC-00118,SITE-0064,CUST-008,Managed Cloud,,Cloud Ops
SVC-00119,SITE-0065,CUST-008,Managed Cloud,,Cloud Ops
SVC-00120,SITE-0065,CUST-008,Dedicated Internet,100,Field - Ontario
SVC-00121,SITE-0065,CUST-008,SD-WAN,10000,Field - Ontario
SVC-00122,SITE-0066,CUST-008,Business Voice (SIP),,Voice Ops
SVC-00123,SITE-0067,CUST-008,Business Voice (SIP),,Voice Ops
SVC-00124,SITE-0067,CUST-008,MPLS WAN,200,Field - West
SVC-00125,SITE-0067,CUST-008,Dedicated Internet,50,Field - West
SVC-00126,SITE-0068,CUST-008,SD-WAN,50,Field - West
SVC-00127,SITE-0068,CUST-008,Managed Cloud,,Cloud Ops
SVC-00128,SITE-0069,CUST-008,Dedicated Internet,500,Field - Ontario
SVC-00129,SITE-0069,CUST-008,Business Voice (SIP),,Voice Ops
SVC-00130,SITE-0069,CUST-008,SD-WAN,100,Field - Ontario
SVC-00131,SITE-0069,CUST-008,Managed Security,,Security Ops
SVC-00132,SITE-0070,CUST-008,MPLS WAN,500,Field - West
SVC-00133,SITE-0071,CUST-008,Managed Cloud,,Cloud Ops
SVC-00134,SITE-0071,CUST-008,Dedicated Internet,1000,Field - West
SVC-00135,SITE-0072,CUST-008,Dedicated Internet,10000,Field - Ontario
SVC-00136,SITE-0073,CUST-008,SD-WAN,50,Field - West
SVC-00137,SITE-0073,CUST-008,Dedicated Internet,1000,Field - West
