Site ID,Customer ID,Site,City,Province,Province Name,Region,Latitude,Longitude
SITE-0001,CUST-001,Lakeview Montreal #1,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0002,CUST-001,Lakeview Montreal #2,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0003,CUST-001,Lakeview Montreal #3,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0004,CUST-001,Lakeview Montreal #4,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0005,CUST-001,Lakeview Montreal #5,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0006,CUST-001,Lakeview Quebec City #6,Quebec City,QC,Quebec,Quebec,46.8139,-71.208
SITE-0007,CUST-001,Lakeview Edmonton #7,Edmonton,AB,Alberta,West,53.5461,-113.4938
SITE-0008,CUST-002,Westgate Edmonton #1,Edmonton,AB,Alberta,West,53.5461,-113.4938
SITE-0009,CUST-002,Westgate Calgary #2,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0010,CUST-002,Westgate Edmonton #3,Edmonton,AB,Alberta,West,53.5461,-113.4938
SITE-0011,CUST-002,Westgate Calgary #4,Calgary,AB,Alberta,West,51.0447,-114.0719
SITE-0012,CUST-003,Juniper Ottawa #1,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0013,CUST-003,Juniper Ottawa #2,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0014,CUST-003,Juniper Toronto #3,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0015,CUST-003,Juniper Vancouver #4,Vancouver,BC,British Columbia,West,49.2827,-123.1207
SITE-0016,CUST-003,Juniper Montreal #5,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0017,CUST-003,Juniper Laval #6,Laval,QC,Quebec,Quebec,45.6066,-73.7124
SITE-0018,CUST-003,Juniper Toronto #7,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0019,CUST-003,Juniper Moncton #8,Moncton,NB,New Brunswick,Atlantic,46.0878,-64.7782
SITE-0020,CUST-003,Juniper Ottawa #9,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0021,CUST-003,Juniper Toronto #10,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0022,CUST-003,Juniper Toronto #11,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0023,CUST-003,Juniper Kitchener #12,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0024,CUST-003,Juniper Windsor #13,Windsor,ON,Ontario,Ontario,42.3149,-83.0364
SITE-0025,CUST-003,Juniper Ottawa #14,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0026,CUST-003,Juniper Kingston #15,Kingston,ON,Ontario,Ontario,44.2312,-76.486
SITE-0027,CUST-003,Juniper Toronto #16,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0028,CUST-003,Juniper Ottawa #17,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0029,CUST-003,Juniper Ottawa #18,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0030,CUST-003,Juniper Kitchener #19,Kitchener,ON,Ontario,Ontario,43.4516,-80.4925
SITE-0031,CUST-003,Juniper London #20,London,ON,Ontario,Ontario,42.9849,-81.2453
SITE-0032,CUST-003,Juniper Ottawa #21,Ottawa,ON,Ontario,Ontario,45.4215,-75.6972
SITE-0033,CUST-003,Juniper Montreal #22,Montreal,QC,Quebec,Quebec,45.5017,-73.5673
SITE-0034,CUST-003,Juniper Toronto #23,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
SITE-0035,CUST-003,Juniper Toronto #24,Toronto,ON,Ontario,Ontario,43.6532,-79.3832
