Decile,Probability From,Probability To,Mean Predicted,Tickets,Breached,Observed Breach Rate,Model Split
1,0.007,0.0425,0.0306,2627,108,0.0411,Test
2,0.0425,0.0602,0.0517,2627,110,0.0419,Test
3,0.0602,0.076,0.0681,2627,161,0.0613,Test
4,0.076,0.093,0.0845,2626,209,0.0796,Test
5,0.093,0.1127,0.1027,2627,236,0.0898,Test
6,0.1127,0.1371,0.1244,2627,310,0.118,Test
7,0.1371,0.168,0.1515,2626,392,0.1493,Test
8,0.1681,0.2146,0.1895,2627,503,0.1915,Test
9,0.2146,0.3029,0.2527,2627,626,0.2383,Test
10,0.3029,0.9635,0.4381,2626,1131,0.4307,Test
