Week Start,Week Ending,Tickets Opened,Tickets Resolved,Breached Tickets,SLA Compliance Pct,MTTR Hours,P50 Resolution Hours,P90 Resolution Hours,Open Backlog,Backlog Past Due,High Risk Open
2024-07-01,2024-07-07,1582,1390,117,91.58,23.45,15.32,53.64,197,28,62
2024-07-08,2024-07-14,1629,1591,186,88.31,30.04,18.48,69.23,234,40,78
2024-07-15,2024-07-21,1613,1621,228,85.93,32.68,18.3,79.76,227,38,77
2024-07-22,2024-07-28,1495,1502,201,86.62,32.51,18.8,80.57,219,54,72
2024-07-29,2024-08-04,1599,1608,218,86.44,31.94,17.8,78.48,211,56,70
2024-08-05,2024-08-11,2790,2103,459,78.17,25.77,11.28,66.15,909,319,759
2024-08-12,2024-08-18,1580,2182,769,64.76,38.08,23.43,89.37,297,108,153
2024-08-19,2024-08-25,1590,1652,258,84.38,38.28,20.06,91.23,231,69,98
2024-08-26,2024-09-01,1574,1558,214,86.26,36.6,18.49,81.21,246,48,94
2024-09-02,2024-09-08,1694,1702,233,86.31,33.52,18.96,77.17,238,54,82
2024-09-09,2024-09-15,1677,1701,211,87.6,31.56,18.08,72.12,216,49,76
2024-09-16,2024-09-22,1748,1703,202,88.14,30.48,18.32,72.71,262,57,101
2024-09-23,2024-09-29,1719,1735,230,86.74,33.81,19.75,77.95,244,49,82
2024-09-30,2024-10-06,1669,1654,199,87.97,33.45,18.45,81.3,262,61,90
2024-10-07,2024-10-13,1772,1773,217,87.76,31.97,17.67,75.24,256,56,102
2024-10-14,2024-10-20,1733,1754,247,85.92,34.22,19.49,78.75,241,55,72
2024-10-21,2024-10-27,3081,2169,311,85.66,28.76,12.65,67.47,1160,187,1019
2024-10-28,2024-11-03,2021,2827,1042,63.14,34.11,20.87,81.35,343,120,155
2024-11-04,2024-11-10,1725,1786,304,82.98,38.51,19.4,99.02,284,64,92
2024-11-11,2024-11-17,1751,1769,262,85.19,34.96,19.26,79.73,266,53,94
2024-11-18,2024-11-24,1734,1762,230,86.95,32.2,18.35,75.39,240,52,69
2024-11-25,2024-12-01,1735,1732,204,88.22,31.82,19.11,74.28,241,44,89
2024-12-02,2024-12-08,1442,1461,200,86.31,32.68,16.8,80.98,219,44,70
2024-12-09,2024-12-15,1568,1580,231,85.38,32.89,18.31,79.76,208,33,75
2024-12-16,2024-12-22,1498,1476,189,87.2,31.35,18.67,76.13,231,60,71
2024-12-23,2024-12-29,1467,1486,212,85.73,33.8,18.63,78.13,213,35,73
2024-12-30,2025-01-05,1799,1752,190,89.16,29.27,17.82,68.37,261,61,86
2025-01-06,2025-01-12,1905,1909,259,86.43,33.11,18.86,78.44,256,53,83
2025-01-13,2025-01-19,1902,1889,238,87.4,31.3,18.69,75.55,269,54,85
2025-01-20,2025-01-26,2901,2808,810,71.15,29.96,16.7,72.15,364,137,189
2025-01-27,2025-02-02,1804,1898,345,81.82,38.5,19.49,102.7,268,74,95
2025-02-03,2025-02-09,1806,1793,246,86.28,34.45,18.15,80.79,281,65,101
2025-02-10,2025-02-16,1819,1846,243,86.84,33.67,18.46,79.09,252,58,88
2025-02-17,2025-02-23,2668,2577,524,79.67,28.12,14.94,65.77,345,101,162
2025-02-24,2025-03-02,1783,1871,325,82.63,37.38,19.91,97.16,256,65,85
2025-03-03,2025-03-09,1686,1690,245,85.5,33.5,18.88,78.8,257,52,89
2025-03-10,2025-03-16,1867,1859,254,86.34,31.57,18.89,73.5,260,54,81
2025-03-17,2025-03-23,1822,1805,243,86.54,33.23,19.03,75.16,279,58,96
2025-03-24,2025-03-30,1783,1803,237,86.86,32.65,18.59,78.32,254,51,85
2025-03-31,2025-04-06,1818,1834,274,85.06,32.78,19.29,78.3,240,53,85
2025-04-07,2025-04-13,1848,1810,223,87.68,32.21,18.3,76.18,277,64,98
2025-04-14,2025-04-20,1767,1800,247,86.28,33.69,19.69,81.38,244,52,90
2025-04-21,2025-04-27,1813,1835,220,88.01,32.58,18.06,70.92,222,45,79
2025-04-28,2025-05-04,1826,1789,242,86.47,32.68,19.11,77.38,260,45,83
2025-05-05,2025-05-11,1868,1864,238,87.23,32.31,18.04,77.58,264,59,83
2025-05-12,2025-05-18,1828,1819,236,87.03,32.86,18.26,78.74,271,50,106
2025-05-19,2025-05-25,1854,1863,246,86.8,32.63,17.79,78.31,265,58,106
2025-05-26,2025-06-01,1844,1843,248,86.54,32.48,18.17,75.15,267,63,98
2025-06-02,2025-06-08,1738,1777,220,87.62,32.94,18.81,76.67,228,48,78
2025-06-09,2025-06-15,1916,1894,237,87.49,30.46,17.78,72.07,248,54,82
2025-06-16,2025-06-22,2640,2270,377,83.39,27.86,13.29,66.66,621,188,464
2025-06-23,2025-06-29,1782,2117,534,74.78,36.5,22.71,87.25,288,94,103
2025-06-30,2025-07-06,1718,1744,294,83.14,35.58,18.96,86.14,258,64,83
2025-07-07,2025-07-13,1652,1672,230,86.24,34.34,19.77,78.11,240,54,94
2025-07-14,2025-07-20,1649,1669,196,88.26,32.98,17.05,77.09,217,47,77
2025-07-21,2025-07-27,1731,1715,228,86.71,32.14,18.35,74.79,234,48,80
2025-07-28,2025-08-03,1700,1692,249,85.28,33.89,18.88,77.31,243,51,79
2025-08-04,2025-08-10,1751,1742,246,85.88,33.26,18.37,76.82,254,51,90
2025-08-11,2025-08-17,1717,1713,230,86.57,32.01,17.95,77.47,255,60,82
2025-08-18,2025-08-24,1725,1712,211,87.68,32.62,18.87,75.34,269,54,90
2025-08-25,2025-08-31,1704,1746,226,87.06,32.4,18.5,74.53,224,51,80
2025-09-01,2025-09-07,1854,1801,246,86.34,32.44,18.23,75.54,278,57,106
2025-09-08,2025-09-14,1919,1909,249,86.96,31.62,17.57,79.26,290,65,99
2025-09-15,2025-09-21,1831,1851,252,86.39,33.97,18.57,80.72,274,63,86
2025-09-22,2025-09-28,2489,2460,456,81.46,27.53,13.51,65.62,298,71,118
2025-09-29,2025-10-05,1909,1935,286,85.22,32.88,20.3,77.32,274,64,95
2025-10-06,2025-10-12,1863,1868,269,85.6,33.9,19.08,81.01,268,62,84
2025-10-13,2025-10-19,1933,1914,255,86.68,33.22,18.63,75.29,283,56,99
2025-10-20,2025-10-26,1936,1960,254,87.04,32.54,19.22,76.65,264,58,95
2025-10-27,2025-11-02,1912,1903,255,86.6,31.56,18.72,72.51,270,60,90
2025-11-03,2025-11-09,1956,1954,249,87.26,32.3,18.38,76.37,273,54,86
2025-11-10,2025-11-16,1794,1815,235,87.05,30.5,17.86,71.01,251,57,85
2025-11-17,2025-11-23,1868,1849,245,86.75,31.58,18.56,76.23,273,67,89
2025-11-24,2025-11-30,1917,1922,250,86.99,32.63,17.93,75.03,267,56,94
2025-12-01,2025-12-07,1661,1680,222,86.79,34.08,19.54,83.37,247,62,97
2025-12-08,2025-12-14,3003,2851,799,71.97,26.31,13.69,60.39,406,142,252
2025-12-15,2025-12-21,1647,1777,365,79.46,39.55,22.73,94.17,270,88,98
2025-12-22,2025-12-28,1601,1591,249,84.35,37.63,20.34,83.65,281,65,108
2025-12-29,2026-01-04,1766,1794,253,85.9,34.3,18.52,78.46,250,47,80
2026-01-05,2026-01-11,1962,1954,254,87.0,31.82,18.61,75.19,258,59,92
2026-01-12,2026-01-18,2037,1989,256,87.13,31.85,17.76,74.36,308,76,102
2026-01-19,2026-01-25,2042,2057,272,86.78,33.35,19.26,78.78,292,67,87
2026-01-26,2026-02-01,1956,1970,242,87.72,32.06,18.42,72.61,279,55,104
2026-02-02,2026-02-08,2004,2003,258,87.12,33.19,18.7,77.96,278,60,96
2026-02-09,2026-02-15,1966,1950,241,87.64,31.46,18.35,74.8,295,52,99
2026-02-16,2026-02-22,1943,1920,238,87.6,32.81,19.03,73.51,322,74,117
2026-02-23,2026-03-01,1955,1992,289,85.49,33.85,18.1,76.56,285,69,108
2026-03-02,2026-03-08,1909,1909,264,86.17,33.36,18.16,78.02,282,70,96
2026-03-09,2026-03-15,1968,1969,260,86.8,32.73,18.28,74.22,281,56,99
2026-03-16,2026-03-22,1943,1961,244,87.56,31.46,18.37,74.47,265,43,93
2026-03-23,2026-03-29,1936,1946,246,87.36,30.54,17.7,76.32,250,66,91
2026-03-30,2026-04-05,3141,2913,653,77.58,26.31,14.2,59.11,488,141,292
2026-04-06,2026-04-12,1893,2065,431,79.13,39.51,22.4,95.49,309,82,121
2026-04-13,2026-04-19,1973,1975,278,85.92,33.7,18.26,81.17,306,67,112
2026-04-20,2026-04-26,1978,2014,274,86.4,32.6,18.25,77.03,269,59,88
2026-04-27,2026-05-03,2024,2006,258,87.14,32.43,17.68,77.46,288,55,113
2026-05-04,2026-05-10,1972,1967,258,86.88,32.94,18.48,78.63,295,55,113
2026-05-11,2026-05-17,2014,2013,258,87.18,31.71,18.74,73.74,294,61,111
2026-05-18,2026-05-24,1999,2008,259,87.1,31.81,17.6,74.74,285,64,93
2026-05-25,2026-05-31,1970,1994,252,87.36,32.69,18.35,77.55,262,72,77
2026-06-01,2026-06-07,1923,1924,261,86.43,31.49,18.24,75.39,259,54,78
2026-06-08,2026-06-14,2018,1996,254,87.27,31.26,17.66,72.53,285,63,110
2026-06-15,2026-06-21,1922,1930,245,87.31,33.47,18.13,79.37,277,61,101
2026-06-22,2026-06-28,1931,1917,255,86.7,32.54,17.6,78.85,286,62,92
